b
2;5
3;5
4;5
2;6
2;7
2;12
2;13
3;13
2;11
4;13
4;9
5;9
6;9
7;9
8;9
9;9
11;9
12;9
13;9
14;9
15;9
16;9
10;6
10;7
10;8
10;9
10;10
10;11
10;12
16;13
17;13
18;13
18;12
18;11
16;5
17;5
18;5
18;6
18;7
c
11;10
12;10
13;10
8;8
7;8
9;8
9;7
11;7
11;8
12;8
13;8
9;10
9;11
11;11
8;10
7;10
3;12
1;9
2;10
2;8
3;9
18;10
17;9
18;8
19;9
9;4
10;5
11;4
10;13
9;14
11;14
3;6
17;6
17;12
13;5
14;4
14;5
14;14
14;13
13;13
6;14
6;13
7;13
6;4
6;5
7;5
s
4;7
5;7
6;7
7;7
8;7
12;7
13;7
14;7
15;7
4;11
5;11
6;11
7;11
8;11
16;7
12;11
13;11
14;11
15;11
16;11
